experiment	epoch	num_samples	fmax	auprc	backbone_fmax	backbone_auprc	delta_fmax_pp	delta_auprc_pp	candidate_positive_recall	delta_candidate_auprc_micro_hist_pp	delta_non_candidate_auprc_micro_hist_pp	delta_rare_auprc_micro_hist_pp	delta_rare_le_5_auprc_micro_hist_pp	delta_medium_auprc_micro_hist_pp	delta_common_auprc_micro_hist_pp	unlabelled_probability_delta_mean	unlabelled_probability_increase_fraction	delta_p10_pp	delta_r10_pp	delta_p50_pp	delta_r50_pp	delta_p100_pp	delta_r100_pp	interpretation
historical_v060	16	1800	55.66881592188141	28.21282958984375	55.63171527693357	32.008670806884766	0.03710064494784149	-3.7958412170410156	0.7556054515764351	-2.3869435580770926	-0.011487413043182092	-0.95679849649094	-1.076640896988149	-1.474303328606581	-1.694231052013599	0.015136887128791125	0.8970545443835163	-0.8999999999999999	-0.289067060650688	-0.6011111111111112	-0.6510380800538742	-0.5472222222222223	-1.2105675266879092	ranking_not_fully_recovered_vs_backbone
historical_v060	17	1800	55.70747098373588	28.10361099243164	55.63171527693357	32.008670806884766	0.0757557068023118	-3.905059814453125	0.7556054515764351	-2.4274062112806973	-0.011936631744795728	-0.9622588290092438	-1.0629190710001382	-1.5244961287458842	-1.6888525691832683	0.015958821311144233	0.9027390840524152	-0.9888888888888889	-0.3708703933804505	-0.6399999999999999	-0.701891545602309	-0.5783333333333333	-1.2977989022152712	ranking_not_fully_recovered_vs_backbone
historical_v060	18	1800	55.71133633633634	28.167423248291016	55.63171527693357	32.008670806884766	0.07962105940276842	-3.84124755859375	0.7556054515764351	-2.4090602350330244	-0.010850644173859406	-0.9329163930979512	-1.031313119955552	-1.6666588951655292	-1.677410325552657	0.01542511361846841	0.8974009079137265	-0.8999999999999999	-0.29017032849927615	-0.6122222222222223	-0.622515140589166	-0.5394444444444445	-1.1908852612577654	ranking_not_fully_recovered_vs_backbone
historical_v060	19	1800	55.70977385827952	27.98878288269043	55.63171527693357	32.008670806884766	0.07805858134594956	-4.019887924194336	0.7556054515764351	-2.4981830153374815	-0.011737844338414134	-0.906270901560049	-1.0144252473381457	-1.6181242108864957	-1.7264682643114924	0.01655009861014278	0.9045876443603506	-0.8777777777777779	-0.321591191788442	-0.6155555555555556	-0.682514856830357	-0.585	-1.3321267062749733	ranking_not_fully_recovered_vs_backbone
historical_v060	20	1800	55.706786651668544	28.064573287963867	55.63171527693357	32.008670806884766	0.07507137473497494	-3.9440975189208984	0.7556054515764351	-2.452576872789244	-0.011349293502311612	-0.8813334827130603	-0.9917686135269825	-1.56776918789242	-1.694845844490409	0.016111292734069305	0.9028321700671306	-0.9277777777777777	-0.2897945829927658	-0.6188888888888889	-0.6564578163997287	-0.5588888888888888	-1.272083071227106	ranking_not_fully_recovered_vs_backbone
